Task ID,Task,Workstream,Owner,Duration (d),Start,Finish,Float (d),Critical,% Complete,Milestone
T01,Programme mobilisation & governance setup,PMO,A. Khan,10,2026-06-01,2026-06-11,0,Yes,100.0,
T02,Current-state process mapping,Business Analysis,S. Patel,15,2026-06-11,2026-06-26,0,Yes,100.0,
T07,Environment provisioning,Technical,J. Okafor,10,2026-06-11,2026-06-21,55,,100.0,
T03,Requirements gathering workshops,Business Analysis,S. Patel,20,2026-06-26,2026-07-16,0,Yes,90.0,
T05,Data migration strategy,Data,M. Rossi,15,2026-06-26,2026-07-11,50,,80.0,
T09,Data cleansing & mapping,Data,M. Rossi,25,2026-07-11,2026-08-05,50,,40.0,
T04,Solution design & architecture,Technical,J. Okafor,25,2026-07-16,2026-08-10,0,Yes,60.0,
T06,Design sign-off,PMO,A. Khan,0,2026-08-10,2026-08-10,0,Yes,0.0,Yes
T08,Core system configuration,Technical,L. Chen,30,2026-08-10,2026-09-09,5,,10.0,
T10,Integration development,Technical,L. Chen,35,2026-08-10,2026-09-14,0,Yes,15.0,
T15,Training material development,Change,K. Nowak,20,2026-08-10,2026-08-30,50,,30.0,
T11,Trial data migration,Data,M. Rossi,10,2026-09-09,2026-09-19,15,,0.0,
T12,System integration testing,Testing,R. Adams,20,2026-09-14,2026-10-04,0,Yes,0.0,
T13,User acceptance testing,Testing,R. Adams,15,2026-10-04,2026-10-19,0,Yes,0.0,
T17,Cutover planning,PMO,A. Khan,10,2026-10-04,2026-10-14,20,,0.0,
T14,UAT sign-off,PMO,A. Khan,0,2026-10-19,2026-10-19,0,Yes,0.0,Yes
T16,End-user training delivery,Change,K. Nowak,15,2026-10-19,2026-11-03,0,Yes,0.0,
T18,Go-live readiness review,PMO,A. Khan,0,2026-11-03,2026-11-03,0,Yes,0.0,Yes
T19,Production cutover & go-live,Technical,J. Okafor,5,2026-11-03,2026-11-08,0,Yes,0.0,
T20,Hypercare support,All,Team,20,2026-11-08,2026-11-28,0,Yes,0.0,
